1.000000	100.000000	0.639205	0.003560	1.000000	0.005570	4.500000
2.000000	100.000000	0.758134	0.036612	1.186058	0.057656	4.500000
3.000000	100.000000	0.482471	0.032819	0.754799	0.051516	4.500000
4.000000	100.000000	0.384471	0.004994	0.601483	0.008501	4.500000
5.000000	100.000000	0.350954	0.007029	0.549047	0.011414	4.500000
6.000000	100.000000	0.307264	0.017328	0.480698	0.027240	4.500000
7.000000	100.000000	0.251300	0.008307	0.393145	0.013179	4.500000
8.000000	100.000000	0.228652	0.000825	0.357713	0.002374	4.500000
9.000000	100.000000	0.220255	0.000871	0.344577	0.002354	4.500000
10.000000	100.000000	0.213951	0.011359	0.334715	0.017868	4.500000
11.000000	100.000000	0.204188	0.008805	0.319441	0.013889	4.500000
12.000000	100.000000	0.186038	0.000485	0.291045	0.001790	4.500000
0.000000	100.000000	0.040306	0.000000	0.000000	0.000000	4.500000
