2.000000e-02	-nan	-nan
3.150000e+00	1.830000e-01	6.502258e-03
3.170000e+00	1.859800e-01	6.065094e-03
3.190000e+00	1.752150e-01	6.143098e-03
3.210000e+00	1.810400e-01	6.529126e-03
3.230000e+00	1.637100e-01	6.465987e-03
3.250000e+00	1.784950e-01	6.011328e-03
3.270000e+00	1.649900e-01	5.838284e-03
3.290000e+00	1.725450e-01	6.373507e-03
3.310000e+00	1.603350e-01	6.449723e-03
3.330000e+00	1.657550e-01	6.073946e-03
3.350000e+00	1.552500e-01	5.511787e-03
3.370000e+00	1.564750e-01	6.012940e-03
3.390000e+00	1.593150e-01	6.420464e-03
3.410000e+00	1.545100e-01	5.910462e-03
3.430000e+00	1.480900e-01	6.254709e-03
3.450000e+00	1.409600e-01	6.089796e-03
3.470000e+00	1.527150e-01	5.751732e-03
3.490000e+00	1.433800e-01	5.915615e-03
3.520000e+00	1.418000e-01	2.770961e-03
3.560000e+00	1.381200e-01	2.657497e-03
3.600000e+00	1.341600e-01	2.855598e-03
3.640000e+00	1.311850e-01	2.998414e-03
3.680000e+00	1.324675e-01	2.945605e-03
3.720000e+00	1.180225e-01	2.736165e-03
3.760000e+00	1.260050e-01	2.932377e-03
3.800000e+00	1.152700e-01	2.922152e-03
3.840000e+00	1.161450e-01	2.563929e-03
3.880000e+00	1.155950e-01	2.521904e-03
3.920000e+00	1.100775e-01	2.604123e-03
3.960000e+00	1.065625e-01	2.611416e-03
4.000000e+00	1.074150e-01	2.487792e-03
4.040000e+00	1.034075e-01	2.375364e-03
4.080000e+00	9.937500e-02	2.489408e-03
4.120000e+00	1.007225e-01	2.551725e-03
4.160000e+00	9.532250e-02	2.458945e-03
4.200000e+00	9.883000e-02	2.602646e-03
4.240000e+00	9.108250e-02	2.613486e-03
4.280000e+00	9.056500e-02	2.478061e-03
4.320000e+00	8.684750e-02	2.474648e-03
4.360000e+00	8.833000e-02	2.392644e-03
4.400000e+00	8.706750e-02	2.337017e-03
4.440000e+00	8.384750e-02	2.349137e-03
4.480000e+00	8.189750e-02	2.139663e-03
4.560000e+00	7.828417e-02	7.200399e-04
4.680000e+00	7.502000e-02	8.024872e-04
4.800000e+00	7.119667e-02	7.615749e-04
4.920000e+00	6.773250e-02	7.425604e-04
5.040000e+00	6.245000e-02	7.646740e-04
5.160000e+00	6.130167e-02	7.717030e-04
5.280000e+00	5.758167e-02	7.531343e-04
5.400000e+00	5.475250e-02	7.425191e-04
5.520000e+00	5.201833e-02	7.427148e-04
5.640000e+00	5.075500e-02	7.037979e-04
5.760000e+00	4.772333e-02	6.646454e-04
5.880000e+00	4.611083e-02	6.386054e-04
