45214	0.502378
23816	0.264622
14188	0.157644
10483	0.116478
8584	0.095378
7083	0.078700
6350	0.070556
5503	0.061144
5343	0.059367
5101	0.056678
4832	0.053689
4089	0.045433
3832	0.042578
3298	0.036644
3323	0.036922
2916	0.032400
3183	0.035367
2865	0.031833
2648	0.029422
2796	0.031067
2877	0.031967
2036	0.022622
2402	0.026689
1906	0.021178
2070	0.023000
2260	0.025111
1772	0.019689
2086	0.023178
1451	0.016122
1435	0.015944
1358	0.015089
1299	0.014433
1933	0.021478
1244	0.013822
1295	0.014389
2218	0.024644
1581	0.017567
1084	0.012044
1268	0.014089
999	0.011100
1074	0.011933
959	0.010656
1105	0.012278
976	0.010844
1031	0.011456
1931	0.021456
881	0.009789
886	0.009844
817	0.009078
1879	0.020878
1022	0.011356
1108	0.012311
1024	0.011378
771	0.008567
757	0.008411
1401	0.015567
610	0.006778
638	0.007089
671	0.007456
627	0.006967
612	0.006800
574	0.006378
568	0.006311
564	0.006267
562	0.006244
571	0.006344
569	0.006322
559	0.006211
557	0.006189
552	0.006133
550	0.006111
552	0.006133
