0	34101
1	34016
2	33920
3	33942
4	33966
5	34087
6	34035
7	34029
8	34031
9	34024
10	33934
11	34003
12	34103
13	33916
14	33848
15	33898
16	33916
17	33985
18	33911
19	33997
20	34116
21	33967
22	33861
23	33853
24	33794
25	33883
26	33760
27	34092
28	33909
29	33865
30	34045
31	33994
32	34081
33	34117
34	33965
35	34080
36	34068
37	34027
38	34066
39	33917
40	33909
41	33898
42	34029
43	33794
44	33938
45	33751
46	33858
47	34116
48	33997
49	34037
50	33833
51	33991
52	33981
53	34023
54	34032
55	33901
56	33908
57	33944
58	34030
59	34048
60	34109
61	33997
62	33889
63	34022
64	34134
65	34005
66	33985
67	34032
68	33959
69	34100
70	33895
71	33954
72	34111
73	33969
74	33939
75	33912
76	33865
77	33788
78	34067
79	33938
80	33849
81	33891
82	33911
83	34057
84	33985
85	33923
86	34074
87	34000
88	34081
89	34070
90	33922
91	34088
92	33897
93	33963
94	34000
95	34059
96	34022
97	33869
98	33985
99	34071
100	34127
101	33930
102	33951
103	33929
104	34037
105	33811
106	34000
107	33936
108	34045
109	34184
110	34115
111	33830
112	33798
113	33950
114	33986
115	33867
116	33817
117	33919
118	33993
119	33851
120	33983
121	33945
122	33897
123	33997
124	33793
125	33957
126	33949
127	33979
128	34026
129	33948
130	34008
131	33991
132	33965
133	33932
134	33863
135	33974
136	33969
137	33925
138	33972
139	33877
140	34003
141	34001
142	33907
143	33902
144	33905
145	34034
146	33943
147	34002
148	34145
149	33964
150	33862
151	34062
152	34054
153	33809
154	33990
155	34049
156	34084
157	33997
158	34024
159	33846
160	33983
161	33953
162	33932
163	33957
164	33953
165	33956
166	34109
167	33892
168	34111
169	33912
170	34000
171	34021
172	34037
173	33867
174	33995
175	34023
176	34063
177	34119
178	34031
179	34056
180	34047
181	34049
182	34096
183	33879
184	33935
185	33973
186	33894
187	33967
188	33869
189	33923
190	33929
191	34069
192	33849
193	33996
194	33912
195	33892
196	33878
197	33931
198	33976
199	33882
200	33973
201	33909
202	34013
203	33983
204	34031
205	33903
206	33913
207	34069
208	33930
209	34017
210	33835
211	33919
212	33776
